Fid,Datesk,Item_Name,Departure_Date,From_Source,To_Destination,Logistics_Name,Temp,Oxygen,Carbon_Dioxide,ethylene,damage_due_to_vibration,Humidity,Label
172.217.10.106-10.42.0.42-443-39237-6,20210104,Ground nut oil 5 lt,04-01-21,Bishnupur,Mahesana,DeGroot Logistics,10.1,,NA,,No,84,0
10.42.0.211-104.97.95.172-40868-80-6,20210104,Sungold oil 5 lt,04-01-21,Budge Budge,Morbi,Edge Logistics,10.5,,NA,,Yes,85,1
182.22.25.252-10.42.0.211-443-57336-6,20210104,Rice Bran 5 lt,04-01-21,Burdwan,Nadiad,Express Lane Transportation,11.3,,NA,,No,69,0
203.130.53.126-10.42.0.211-80-38369-6,20210104,Tamarind Paste 150 gm,04-01-21,Chandernagore,Navsari,Flare Logistics Trucking Inc.,9.4,,NA,,Yes,67,1
10.42.0.151-13.64.108.49-50283-443-6,20210104,Washington red apple,04-01-21,Darjeeling,Ambala,Forward Air,10.5,,NA,,Yes,74,1
10.42.0.211-64.71.142.110-41793-443-6,20210104,Indian red globe,04-01-21,Diamond Harbour,Bhiwani,Fresh Logistic,10.2,,NA,,No,89,0
10.42.0.211-103.235.46.211-44595-443-6,20210104,Apple Chilli,04-01-21,Ranchi,Chandigarh,Go Movers,13,,NA,,Yes,87,1
10.42.0.151-23.23.110.118-56506-443-6,20210104,Bread fruit,04-01-21,Saraikela,Faridabad,Horizon Moving & Logistics,13.3,17.7,NA,5.11,No,88,0
10.42.0.211-10.42.0.1-47263-53-17,20210104,Peas seeds,04-01-21,Badami,Firozpur Jhirka,Hub Group Trucking,13.5,9.73,NA,4.67,No,79,0
10.42.0.211-106.39.162.36-49779-80-6,20210104,Anjura/Fig,04-01-21,Ballari,Gurugram,In Switch,12.6,,NA,,Yes,89,1
220.243.225.102-10.42.0.211-80-46683-6,20210104,Butter fruit,04-01-21,Bengaluru,Hansi,King Courier,10.2,,NA,,Yes,64,1
140.205.230.8-10.42.0.211-80-39658-6,20210104,Bore fruit,04-01-21,Belagavi,Hisar,Fresh Logistic,9.9,,NA,,No,83,0
202.77.129.150-10.42.0.42-80-44592-6,20210104,S.mellon Local (Luck),04-01-21,Bhadravati,Jind,Go Movers,8.9,,NA,,Yes,81,1
10.42.0.211-10.42.0.1-46132-53-17,20210104,S.mellon namdhari (Red),04-01-21,Bidar,Kaithal,Horizon Moving & Logistics,12.4,,NA,,No,73,0
198.11.189.16-10.42.0.211-443-48712-6,20210104,Mosambi polo,04-01-21,Chikkamagaluru,Karnal,Hub Group Trucking,15.8,,NA,,Yes,74,1
10.42.0.211-10.42.0.1-34158-53-17,20210104,Rumenia Mango,04-01-21,Chitradurga,Kurukshetra,In Switch,17.1,,NA,10.89,No,77,0
10.42.0.42-52.84.29.154-60960-443-6,20210104,Apple Chaina Delicious,04-01-21,Davangere,Panipat,King Courier,12.7,,NA,,Yes,58,1
10.42.0.211-123.125.29.138-40994-80-6,20210104,Chilles small cleaned (C.B.P),04-01-21,Halebid,Pehowa,Lynden Transport,10.2,40.28,NA,7.6,No,64,0
172.217.11.42-10.42.0.211-443-40623-6,20210104,Washington gala apple,04-01-21,Hassan,Rewari,Max Move,12.7,27.85,NA,11.85,No,69,0
10.42.0.151-10.42.0.1-25652-53-17,20210104,Times Rose berry,04-01-21,Hubballi-Dharwad,Bilaspur,National Transportation Logistics,14.1,26.22,NA,5.08,No,63,0
10.42.0.211-31.13.71.3-42079-443-6,20210104,Grapesh Tash ganesh,04-01-21,Kalaburagi,Chamba,New Motion Shipper,16.6,24.71,NA,5.35,No,68,0
10.42.0.211-10.42.0.1-44904-53-17,20210104,Chikkadikai cleaned,04-01-21,Kolar,Dalhousie,King Courier,17.9,19.89,NA,7.54,No,77,0
172.217.9.234-10.42.0.151-443-40294-6,20210104,Orange ,04-01-21,Madikeri,Dharmshala,Fresh Logistic,15.6,18.21,175.81,11.23,Yes,85,1
10.42.0.151-10.42.0.1-27652-53-17,20210104,Thiland Jelly,04-01-21,Mandya,Hamirpur,Go Movers,18.3,23.6,104.94,21.01,Yes,66,1
10.42.0.1-10.42.0.42-53-60759-17,20210104,Thiland ,04-01-21,Alappuzha,Kangra,Horizon Moving & Logistics,23.8,32.46,70.84,22.32,No,46,0
10.42.0.151-121.12.98.64-59124-80-6,20210104,Pineapple ,04-01-21,Vatakara,Kullu,Hub Group Trucking,13,6.36,71.28,13.78,No,85,0
10.42.0.211-58.63.236.212-38725-443-6,20210104,Kashini greens,04-01-21,Idukki,Mandi,In Switch,16.2,21.54,55.17,19.04,No,57,0
183.79.248.124-10.42.0.42-80-59635-6,20210104,Mosambi,04-01-21,Kannur,Nahan,King Courier,15.4,,NA,,Yes,63,1
175.100.207.233-10.42.0.151-80-58068-6,20210104,S.mellon namdhari,04-01-21,Kochi,Anantnag,Lynden Transport,16.7,56.01,3.96,2.56,Yes,80,1
172.217.10.138-10.42.0.151-443-44619-6,20210104,Watermellon kiran,04-01-21,Kollam,Baramula,Max Move,18.4,,NA,0,Yes,91,1
172.217.10.78-10.42.0.151-443-52740-6,20210104,Watermellon,04-01-21,Kottayam,Doda,National Transportation Logistics,13.1,,NA,0,Yes,74,1
172.217.10.229-10.42.0.151-443-44268-6,20210104,Tamarind sweet 500gm,04-01-21,Kozhikode,Gulmarg,New Motion Shipper,14.1,33.84,24.81,21.21,Yes,60,1
10.42.0.211-31.13.65.36-49756-443-6,20210104,Rampal,04-01-21,Mattancheri,Jammu,King Courier,15.7,44.5,16.58,22.37,No,62,0
172.217.12.163-10.42.0.151-443-37498-6,20210104,Rose apple,04-01-21,Palakkad,Kathua,Lynden Transport,14.9,77.28,17.91,21.71,Yes,64,1
10.42.0.211-10.42.0.1-56535-53-17,20210104,Pomello/Chakotha,04-01-21,Thalassery,Punch,Max Move,14.5,52.82,36.74,23.48,No,61,0
172.217.12.196-10.42.0.211-443-57235-6,20210104,Peaches,04-01-21,Thiruvananthapuram,Rajouri,National Transportation Logistics,16,27.74,42.99,33.58,No,57,0
10.42.0.211-64.71.142.95-40147-80-6,20210104,Plum Australia,04-01-21,Balaghat,Srinagar,New Motion Shipper,18.5,55.03,62.88,45.36,No,72,0
220.243.219.55-10.42.0.42-80-48240-6,20210104,Plum Ooty,04-01-21,Barwani,Udhampur,Omni Logistics,21.7,42.9,38.8,40.31,Yes,63,1
10.42.0.211-10.42.0.1-60772-53-17,20210104,Pineapple,04-01-21,Betul,Bokaro,Pack ‘n’ Send,21.4,62.31,48.64,35.32,No,83,0
10.42.0.211-123.125.29.220-55796-80-6,20210104,Papaya sola,04-01-21,Bharhut,Chaibasa,Parcel Logistics,22.7,58.29,51.7,34.08,Yes,72,1
10.42.0.211-104.88.89.135-34552-443-6,20210104,Papaya Red lady,04-01-21,Bhind,Deoghar,Blue Grace Logistics,19.8,67.89,47.15,0,No,85,0
10.42.0.1-10.42.0.42-53-48463-17,20210104,Papaya Taiwan,04-01-21,Bhojpur,Dhanbad,Brisk Shipping,15.9,48.07,98.33,12.51,Yes,87,1
10.42.0.211-50.17.225.23-40715-443-6,20210104,Papaya nati,04-01-21,Bhopal,Dumka,Check Logistics,16.4,37.21,118.02,63.79,No,72,0
216.58.219.238-10.42.0.151-443-41315-6,20210104,Pomegranate Ganesh,04-01-21,Burhanpur,Giridih,Circle Logistics,18.8,36.02,45.88,49.7,Yes,65,1
151.101.1.140-10.42.0.211-443-43644-6,20210104,Pomegranate A.raktha,04-01-21,Chhatarpur,Hazaribag,Clipper America Inc.,19.7,28.71,5.06,14.55,Yes,66,1
172.217.10.238-10.42.0.151-443-53490-6,20210104,Pomegranate Bhagav,04-01-21,Chhindwara,Jamshedpur,Max Move,25.2,42.6,5.85,15.08,No,49,0
172.217.10.238-10.42.0.211-443-36245-6,20210104,Pomegranate,04-01-21,Damoh,Jharia,National Transportation Logistics,18.9,26.06,6.11,13.81,Yes,65,1
182.254.5.234-10.42.0.211-80-47235-6,20210104,Ginger ooty,04-01-21,Datia,Rajmahal,New Motion Shipper,20.1,37.6,10.23,20.24,No,62,0
151.101.1.140-10.42.0.211-443-34103-6,20210104,Dhantu greens,04-01-21,Dewas,Ranchi,Omni Logistics,17.2,48.09,6.84,9.95,No,89,0
8.0.6.4-8.6.0.1-0-0-0,20210104,Curry leave,04-01-21,Dhar,Saraikela,Pack ‘n’ Send,22.9,62.34,15.17,10.59,Yes,66,1
198.11.190.8-10.42.0.211-443-36064-6,20210104,Corriander Leave,04-01-21,Dr. Ambedkar Nagar (Mhow),Badami,Parcel Logistics,21.9,74.34,15.07,35.22,Yes,72,1
183.79.249.252-10.42.0.211-443-37066-6,20210104,Kakadi,04-01-21,Guna,Ballari,Blue Grace Logistics,17.5,55.49,24,3.34,No,92,0
172.217.12.138-10.42.0.151-443-39076-6,20210104,Pickles mixed veg,04-01-21,Gwalior,Bengaluru,Brisk Shipping,17,55.83,45.76,4.01,Yes,54,1
172.217.10.46-10.42.0.151-443-60182-6,20210104,mango Pickles,04-01-21,Maheshwar,Belagavi,Check Logistics,14.7,45.65,37.88,2.18,No,76,0
172.217.10.238-10.42.0.211-443-45492-6,20210104,Lime Pickles,04-01-21,Mandla,Bhadravati,Circle Logistics,17.5,47.4,55.69,12.43,Yes,53,1
217.69.133.148-10.42.0.211-443-56484-6,20210104,Pickles,04-01-21,Mandsaur,Bidar,Clipper America Inc.,17.2,43.8,69.71,5.13,No,44,0
172.217.6.202-10.42.0.151-443-38436-6,20210104,Rice Bran 15 lt Tin,04-01-21,Morena,Chikkamagaluru,DeGroot Logistics,15,43,55.08,8.31,Yes,99,1
10.42.0.211-10.42.0.1-40888-53-17,20210104,G. nut sungold 1 lt,04-01-21,Murwara,Chitradurga,Blue Grace Logistics,20,54.62,14.63,17.73,No,83,0
10.42.0.211-103.235.46.211-43529-443-6,20210104,G. nut Golden oil 1 lt,04-01-21,Narsimhapur,Davangere,Brisk Shipping,16.6,60.03,40.22,31.5,No,76,0
10.42.0.151-108.174.11.1-42423-443-6,20210104,G. nut oil safal deep1 lt,04-01-21,Narsinghgarh,Halebid,Check Logistics,20.9,40.02,30.39,27.59,No,72,0
224.0.0.251-10.42.0.211-5353-5353-17,20210104,G. nut oil Rice 1 lt,04-01-21,Narwar,Hassan,Circle Logistics,22.5,78.13,6.14,12.02,No,68,0
172.217.9.238-10.42.0.211-80-48527-6,20210104,Apple ,04-01-21,Neemuch,Hubballi-Dharwad,Clipper America Inc.,21.1,86.71,5.49,8.51,No,66,0
130.211.115.4-10.42.0.211-443-40740-6,20210104,Litchi ,04-01-21,Nowgong,Kalaburagi,DeGroot Logistics,13.8,88.35,5.78,9.43,Yes,55,1
180.149.136.194-10.42.0.42-443-60964-6,20210104,Parsley,04-01-21,Orchha,Kolar,Edge Logistics,15.6,39.29,5.9,11,Yes,49,1
198.105.244.11-10.42.0.211-80-46246-6,20210104,Leeks,04-01-21,Panna,Madikeri,Express Lane Transportation,18,66.39,5.46,8.81,No,53,0
220.181.7.190-10.42.0.42-443-47489-6,20210104,Selari,04-01-21,Raisen,Mandya,Flare Logistics Trucking Inc.,16.9,40.27,7.19,15.38,No,50,0
180.76.147.97-10.42.0.211-80-54509-6,20210104,South Africa Gala apple,04-01-21,Rajgarh,Alappuzha,Forward Air,15.2,83.18,5.58,14.84,No,46,0
172.217.9.234-10.42.0.211-443-60978-6,20210104,Indian kinora apple,04-01-21,Ratlam,Vatakara,Fresh Logistic,16.4,59.39,5.9,16.74,Yes,54,1
182.22.67.89-10.42.0.211-443-45892-6,20210104,Chikkadikai Round,04-01-21,Rewa,Idukki,Go Movers,18.3,42.01,26.28,23.84,Yes,49,1
192.229.163.180-10.42.0.211-443-51970-6,20210104,Mineral water 1 lt,04-01-21,Sagar,Kannur,Horizon Moving & Logistics,20.8,53.61,28.06,26.49,Yes,62,1
172.217.10.74-10.42.0.211-443-51609-6,20210104,Net rich 5 lt oil,04-01-21,Sarangpur,Kochi,Hub Group Trucking,20.7,58.81,15.98,1.82,Yes,62,1
216.58.219.202-10.42.0.211-443-37073-6,20210104,Byladha Hannu,04-01-21,Ahmadnagar,Kollam,In Switch,20.1,51.5,20.79,0.99,Yes,72,1
180.149.153.68-10.42.0.211-80-55355-6,20210104,Maize,04-01-21,Akola,Kottayam,King Courier,18.3,61.73,11.42,0.74,No,94,0
203.130.53.126-10.42.0.42-80-57315-6,20210104,Y.Bananan T.N.,04-01-21,Amravati,Kozhikode,Fresh Logistic,18.3,72.02,7.54,8.28,Yes,63,1
10.42.0.211-31.13.80.8-34682-443-6,20210104,Chain Berry,04-01-21,Aurangabad,Mattancheri,Go Movers,19,75.64,6.33,12.03,No,49,0
172.217.10.2-10.42.0.211-443-60536-6,20210104,Onion flowers,04-01-21,Bhandara,Palakkad,Horizon Moving & Logistics,17.2,105.69,5.7,9.37,No,51,0
10.42.0.151-108.174.10.10-53577-80-6,20210104,Letteus Greens,04-01-21,Bhusawal,Thalassery,Hub Group Trucking,19.4,66.87,7.16,11.34,No,54,0
219.142.78.162-10.42.0.151-80-54617-6,20210104,Basale Greens,04-01-21,Bid,Thiruvananthapuram,In Switch,20,48.64,17.88,18.08,Yes,67,1
172.217.3.98-10.42.0.151-443-59638-6,20210104,BaleDindu (Banana stem),04-01-21,Buldhana,Balaghat,King Courier,21.2,56.86,8.72,14.06,No,67,0
10.42.0.151-10.42.0.1-15516-53-17,20210104,Batani kalu,04-01-21,Chandrapur,Barwani,Lynden Transport,22.6,73.53,7.78,15.03,Yes,43,1
10.42.0.151-10.42.0.1-62444-53-17,20210104,Sweet corn seeds spok,04-01-21,Daulatabad,Betul,Max Move,20.7,93.19,5.95,12.12,No,84,0
10.42.0.211-23.203.49.224-36166-443-6,20210104,Sweet corn cleaned,04-01-21,Dhule,Bharhut,National Transportation Logistics,20.9,79.46,25.81,19.04,Yes,60,1
174.35.73.111-10.42.0.211-80-36481-6,20210104,Sweet corn,04-01-21,Jalgaon,Bhind,New Motion Shipper,21.7,54.97,19.89,22.98,No,56,0
10.42.0.151-31.13.80.5-44900-443-6,20210104,Orange Australia,04-01-21,Kalyan,Bhojpur,Horizon Moving & Logistics,20.9,67.14,29.6,19.73,Yes,63,1
10.42.0.211-120.55.89.238-58289-8977-6,20210104,Orange Ooty,04-01-21,Karli,Bhopal,Hub Group Trucking,21.2,65.28,15.17,15.99,Yes,72,1
10.42.0.211-54.192.38.154-41782-443-6,20210104,Orange Nagpura,04-01-21,Kolhapur,Burhanpur,In Switch,23.8,65.58,26.95,21.84,No,58,0
182.22.24.124-10.42.0.211-443-38534-6,20210104,Orange,04-01-21,Mahabaleshwar,Chhatarpur,King Courier,22.1,58.08,43.47,29.83,Yes,68,1
10.42.0.211-23.206.166.66-41605-80-6,20210104,Mango sakkaregutti,04-01-21,Malegaon,Chhindwara,Lynden Transport,21.2,61.52,30.55,21.93,No,81,0
10.42.0.211-10.42.0.1-54255-53-17,20210104,Mango Alphans box,04-01-21,Kohima,Damoh,Max Move,19.9,65.25,14.9,19.32,No,69,0
10.42.0.211-77.234.44.40-57359-80-6,20210104,Mango rathnagiri(red),04-01-21,Mon,Datia,National Transportation Logistics,20,90.79,6.85,13.58,Yes,50,1
10.42.0.151-54.239.17.112-46772-443-6,20210104,Mango Amarpalli,04-01-21,Phek,Dewas,New Motion Shipper,20.8,69.02,7.58,14.48,Yes,49,1
172.217.6.206-10.42.0.151-80-56861-6,20210104,Mango Kesar,04-01-21,Wokha,Dhar,Omni Logistics,20.9,93.51,9.26,14.29,No,50,0
175.100.207.231-10.42.0.151-80-33027-6,20210104,Mango Langada,04-01-21,Zunheboto,Dr. Ambedkar Nagar (Mhow),Pack ‘n’ Send,22.6,105.33,13.87,12.77,Yes,54,1
182.22.24.252-10.42.0.211-443-52435-6,20210104,Mango Dasheri,04-01-21,Balangir,Guna,Parcel Logistics,24.2,65.69,19.42,19.56,No,61,0
172.217.12.195-10.42.0.151-443-38751-6,20210104,Mango Neelam,04-01-21,Baleshwar,Gwalior,King Courier,25.5,36.51,25.96,17.69,Yes,57,1
180.76.182.155-10.42.0.211-80-49685-6,20210104,Mango kalapadu,04-01-21,Baripada,Maheshwar,Lynden Transport,26.5,41.95,31.55,21.18,No,55,0
10.42.0.151-10.42.0.1-1443-53-17,20210104,Mango thotapuri,04-01-21,Bhubaneshwar,Mandla,Max Move,24.5,50.46,23.19,16.52,Yes,60,1
180.149.134.221-10.42.0.211-80-54020-6,20210104,Mango mallika,04-01-21,Brahmapur,Mandsaur,National Transportation Logistics,20.9,48.73,8.91,14.27,No,59,0
157.240.18.15-10.42.0.211-443-52855-6,20210104,Mango malagova,04-01-21,Cuttack,Morena,New Motion Shipper,18.9,68.56,5.86,9,No,43,0
10.42.0.211-91.190.216.59-35662-12350-6,20210104,Mango Bygan palli,04-01-21,Dhenkanal,Murwara,Omni Logistics,21.6,55.23,16.31,12.18,No,47,0
172.217.3.100-10.42.0.42-443-45351-6,20210104,Mango Sendura,04-01-21,Kendujhar,Narsimhapur,Pack ‘n’ Send,20,59.41,44.57,18.16,No,91,0
216.58.217.68-10.42.0.211-443-46686-6,20210104,Capsicum,04-01-21,Konark,Narsinghgarh,Parcel Logistics,16.5,47.58,30.4,16.99,No,56,0
172.217.9.234-10.42.0.211-443-39821-6,20210104,Cluster Bean Local,04-01-21,Koraput,Narwar,Blue Grace Logistics,17.9,43.23,20.58,15.93,Yes,57,1
192.229.163.180-10.42.0.211-443-37022-6,20210104,Mangalore cucumber,04-01-21,Paradip,Neemuch,Brisk Shipping,13.5,10.99,22.69,15.14,Yes,85,1
172.217.11.42-10.42.0.42-443-51380-6,20210104,Cucumber Ooty,04-01-21,Phulabani,Nowgong,Check Logistics,14.8,51.68,14.34,11.26,No,52,0
10.42.0.211-10.42.0.1-51331-53-17,20210104,Cucumber Israle,04-01-21,Puri,Orchha,Circle Logistics,16.6,12.21,44.01,18.24,No,62,0
172.217.11.33-10.42.0.42-443-43910-6,20210104,Cucumber Nati,04-01-21,Sambalpur,Panna,Clipper America Inc.,19.5,41.74,29.54,25,No,49,0
10.42.0.151-10.42.0.1-64385-53-17,20210104,Cucumber,04-01-21,Udayagiri,Raisen,Max Move,20.7,31.7,32.42,14.07,Yes,52,1
10.42.0.211-52.84.40.37-43287-80-6,20210104,Chow-Chow,04-01-21,Amritsar,Rajgarh,National Transportation Logistics,23.5,25.03,65.07,21.46,Yes,48,1
172.217.11.35-10.42.0.151-443-49579-17,20210104,Bottle Gourd,04-01-21,Batala,Ratlam,New Motion Shipper,24.3,60.49,52.45,26.98,Yes,41,1
10.42.0.211-72.21.206.121-37306-443-6,20210104,Jambo fruit(Nerale),04-01-21,Chandigarh,Rewa,Omni Logistics,21.2,59.23,30.7,39.79,Yes,64,1
192.229.173.173-10.42.0.151-80-36239-6,20210104,Dry fruit mixed,04-01-21,Faridkot,Sagar,Pack ‘n’ Send,24.8,70.9,9.92,14.07,Yes,59,1
10.42.0.211-10.42.0.1-15528-53-17,20210104,Badami,04-01-21,Firozpur,Sarangpur,Parcel Logistics,25.3,47.71,29.44,7.96,No,58,0
182.22.65.140-10.42.0.42-443-44917-6,20210104,Dry apricot,04-01-21,Gurdaspur,Ahmadnagar,Blue Grace Logistics,24.9,40.9,52.63,25.75,Yes,56,1
10.42.0.151-10.42.0.1-58210-53-17,20210104,Dates seedless,04-01-21,Hoshiarpur,Akola,Brisk Shipping,24.5,40.06,89.57,36,No,49,0
183.79.215.140-10.42.0.151-443-33963-6,20210104,Dry dates,04-01-21,Jalandhar,Amravati,Check Logistics,22.2,43.5,52.92,24.12,Yes,44,1
192.229.163.180-10.42.0.211-443-37022-6,20210104,Dates,04-01-21,Kapurthala,Aurangabad,Circle Logistics,21.1,63.22,15.17,13.51,No,55,0
10.42.0.211-10.42.0.1-45093-53-17,20210104,Cashew nut,04-01-21,Ludhiana,Bhandara,Clipper America Inc.,24.6,83.69,35.38,14.9,Yes,52,1
205.185.216.10-10.42.0.42-80-52882-6,20210104,Cherry kashmir,04-01-21,Nabha,Bhusawal,DeGroot Logistics,24.4,41.52,65.27,18.18,Yes,38,1
10.42.0.211-10.42.0.1-58681-53-17,20210104,Cherry fruit,04-01-21,Patiala,Bid,Blue Grace Logistics,24.7,41,83.78,24.68,No,50,0
10.42.0.211-98.139.199.204-55548-443-6,20210104,Ber fruit/Bore fruit,04-01-21,Rupnagar,Buldhana,Brisk Shipping,24.9,32.24,42.54,12.32,No,56,0
180.163.251.231-10.42.0.211-80-58523-6,20210104,Berry Delhi,04-01-21,Sangrur,Chandrapur,Check Logistics,26.4,39.06,94,0.74,No,49,0
10.42.0.211-31.13.71.7-50755-443-6,20210104,Berry Soft,04-01-21,Abu,Daulatabad,Circle Logistics,22.6,44.14,15.14,0.74,Yes,92,1
10.42.0.211-69.147.82.60-44207-443-6,20210104,Berry fruit Ooty,04-01-21,Ajmer,Dhule,Clipper America Inc.,19.1,7.97,73.16,0.74,Yes,61,1
198.11.251.46-10.42.0.42-443-47780-6,20210104,Peas Delhi,04-01-21,Alwar,Jalgaon,DeGroot Logistics,18.8,7.94,71.48,0.74,Yes,52,1
172.217.7.2-10.42.0.211-443-33400-6,20210104,Peas local,04-01-21,Amer,Kalyan,Edge Logistics,20.1,32.93,49.85,0.74,No,55,0
10.42.0.211-106.39.169.66-37808-80-6,20210104,Onion samber,04-01-21,Barmer,Karli,Express Lane Transportation,20.6,38.11,25.46,0.74,Yes,69,1
172.217.10.74-10.42.0.151-443-56050-6,20210104,Mango Raspuri,04-01-21,Beawar,Kolhapur,Flare Logistics Trucking Inc.,21.2,49.84,27.03,0.74,Yes,63,1
172.217.6.200-10.42.0.42-443-34659-6,20210104,Onion small(Economy),04-01-21,Bharatpur,Mahabaleshwar,Forward Air,22.2,55.79,48.11,0.74,Yes,61,1
208.80.154.224-10.42.0.211-443-47889-6,20210104,Mango Alphans,04-01-21,Bhilwara,Malegaon,Fresh Logistic,16.9,42.09,108.99,0.74,Yes,58,1
172.217.10.142-10.42.0.151-443-37911-6,20210104,Mango Badami,04-01-21,Bikaner,Kohima,Go Movers,16.9,40.97,124.01,0.74,No,63,0
10.42.0.211-10.42.0.1-56038-53-17,20210104,Mango,04-01-21,Bundi,Mon,Horizon Moving & Logistics,17.8,29.52,20.33,0.74,Yes,61,1
183.79.248.124-10.42.0.151-443-35974-6,20210104,Papaya red indian,04-01-21,Chittaurgarh,Phek,Hub Group Trucking,19.6,34.08,28.93,0.74,No,61,0
10.42.0.211-10.42.0.1-42051-53-17,20210104,Indian Black globe Grapes,04-01-21,Churu,Wokha,In Switch,18.7,51.44,10.31,0.74,Yes,78,1
172.217.9.234-10.42.0.151-443-53156-6,20210104,Jack fruit,04-01-21,Dhaulpur,Zunheboto,King Courier,16.6,64.67,6.17,0.74,No,69,0
10.42.0.211-113.108.216.233-47704-80-6,20210104,Onion Big,04-01-21,Dungarpur,Balangir,Fresh Logistic,18,62.74,32.36,0.74,Yes,68,1
10.42.0.211-106.11.94.1-42151-443-6,20210104,Onion medium,04-01-21,Ganganagar,Baleshwar,Go Movers,19.6,67.84,36.67,0.74,No,61,0
10.42.0.1-10.42.0.42-53-1131-17,20210104,Mushroom Oyster,04-01-21,Hanumangarh,Baripada,Horizon Moving & Logistics,21.1,47.95,47.49,0.74,No,60,0
10.42.0.151-52.179.189.71-46500-443-6,20210104,Brucoli,04-01-21,Jaipur,Bhubaneshwar,Hub Group Trucking,20.8,41.76,108.73,0.74,Yes,65,1
10.42.0.42-54.239.17.113-50272-443-6,20210104,Avare seed (FB seeds),04-01-21,Jaisalmer,Brahmapur,In Switch,18.4,44.06,132.47,0.74,No,83,0
10.42.0.211-77.234.44.200-50695-80-6,20210104,Avarebele (F. Beans spok),04-01-21,Jalor,Cuttack,King Courier,21,32.35,74.41,9.83,No,75,0
173.241.242.143-10.42.0.211-443-39120-6,20210104,Bale hoovu(B.flower),04-01-21,Jhalawar,Dhenkanal,Lynden Transport,22,46.91,66.96,18.99,Yes,68,1
172.217.3.98-10.42.0.211-443-48831-6,20210104,Sweet corn seeds,04-01-21,Jhunjhunu,Kendujhar,Max Move,23.3,46.15,92.86,27.37,No,62,0
10.42.0.42-23.217.155.120-47537-80-6,20210104,Kashini (Ganike) Greens,04-01-21,Jodhpur,Konark,National Transportation Logistics,19,25.63,134.85,28.04,No,82,0
205.204.101.196-10.42.0.151-443-50406-6,20210104,Cucumber white,04-01-21,Kishangarh,Koraput,New Motion Shipper,19.3,,NA,,Yes,72,1
10.42.0.151-10.42.0.1-33832-53-17,20210104,Cluster Beans Bunches,04-01-21,Kota,Paradip,Horizon Moving & Logistics,19.5,46.78,27.81,7.73,Yes,65,1
208.80.154.224-10.42.0.211-443-33425-6,20210104,Gulkan 1/4 kg,04-01-21,Merta,Phulabani,Hub Group Trucking,18.4,40.63,30.05,10.88,No,73,0
172.217.6.227-10.42.0.42-443-44610-17,20210104,Gulkan 1/2 kg,04-01-21,Nagaur,Puri,In Switch,19.8,44.79,35.02,11.98,No,65,0
10.42.0.211-10.42.0.1-10320-53-17,20210104,Gulkan 1 kg,04-01-21,Nathdwara,Sambalpur,King Courier,21.5,51.14,18.78,15.64,No,65,0
10.42.0.211-91.190.216.55-40133-12350-6,20210104,Honney 100 gm,04-01-21,Pali,Udayagiri,Lynden Transport,18.6,9.36,8.51,11.97,Yes,91,1
10.42.0.151-14.29.93.243-40384-80-6,20210104,Honney 200 gm,04-01-21,Phalodi,Amritsar,Max Move,21.9,,4.52,11.62,Yes,88,1
10.42.0.211-104.66.14.141-42794-443-6,20210104,Honney 1 Kg,04-01-21,Pushkar,Batala,National Transportation Logistics,19.5,63.12,13.79,12.47,No,100,0
10.42.0.211-10.42.0.1-5732-53-17,20210104,Honney 1/2,04-01-21,Sawai Madhopur,Chandigarh,New Motion Shipper,20.5,44.82,25.68,7.3,No,74,0
10.42.0.211-47.89.67.240-55616-443-6,20210104,Copra,04-01-21,Shahpura,Faridkot,Omni Logistics,19.5,37,22.14,8.94,Yes,97,1
172.217.10.227-10.42.0.151-443-46215-6,20210104,Cauliflower(B),04-01-21,Sikar,Firozpur,Pack ‘n’ Send,19.1,42.05,52.23,20.61,Yes,60,1
10.42.0.151-10.42.0.1-24101-53-17,20210104,Cabbage chaina,04-01-21,Sirohi,Gurdaspur,Parcel Logistics,19.3,54.42,10.58,8.42,Yes,62,1
203.205.128.137-10.42.0.42-80-37901-6,20210104,Cabbage Red,04-01-21,Gangtok,Hoshiarpur,National Transportation Logistics,19.1,67.24,46.93,13.08,Yes,100,1
182.22.65.136-10.42.0.151-443-58719-6,20210104,Cabbage,04-01-21,Gyalshing,Jalandhar,New Motion Shipper,16.3,53.57,41.3,17.49,Yes,85,1
172.217.10.2-10.42.0.211-443-47574-6,20210104,Coconut (OS),04-01-21,Lachung,Kapurthala,King Courier,16.7,56.94,52.37,56.27,Yes,79,1
180.149.138.210-10.42.0.211-80-52197-6,20210104,Coconut (S),04-01-21,Mangan,Ludhiana,Fresh Logistic,17.7,53.2,31.48,24.48,No,49,0
10.42.0.211-98.139.180.180-37925-443-6,20210104,Coconut (M),04-01-21,Arcot,Nabha,Go Movers,18.3,50.69,51.41,21.27,Yes,49,1
10.42.0.151-106.11.129.144-34227-443-6,20210104,Coconut (B),04-01-21,Chengalpattu,Patiala,Horizon Moving & Logistics,16.7,38.63,70.03,14.37,Yes,76,1
216.58.219.238-10.42.0.42-443-36425-6,20210104,Cowpea Long,04-01-21,Chennai,Rupnagar,Hub Group Trucking,15.5,24.38,17.12,13.56,Yes,77,1
10.42.0.151-10.42.0.1-33430-53-17,20210104,Cowpea Local,04-01-21,Chidambaram,Sangrur,In Switch,14.9,46.07,37.72,15.85,No,87,0
